#{"t_start": 1679047282.1016035, "env_id": "CarRacing-v0"}
r,l,t
-94.294737,365,24.138303
-48.905109,1000,79.527987
-14.285714,1000,130.659254
-34.707904,1000,183.009373
-18.644068,1000,236.423943
92.307692,1000,290.047946
-0.0,1000,342.335952
-24.092409,1000,395.837255
23.636364,1000,449.145288
21.580547,1000,502.989989
9.034268,1000,557.101366
114.983713,1000,611.022792
-82.206406,1000,663.721846
-79.310345,1000,718.366379
-61.414791,1000,772.482084
-31.972789,1000,827.583104
-63.235294,1000,877.085841
105.673759,1000,930.881171
82.108626,1000,985.139202
32.492114,1000,1041.866147
7.407407,1000,1095.733404
-15.76087,1000,1154.195217
2.990033,1000,1207.693894
-46.768061,1000,1261.993064
-60.992908,1000,1317.001965
-40.766551,1000,1372.396089
-74.110032,1000,1426.42554
-68.19788,1000,1485.497685
-73.421927,1000,1535.570447
2.803738,1000,1587.371094
30.111524,1000,1639.653667
-39.849624,1000,1691.203789
-56.521739,1000,1741.710152
-21.052632,1000,1789.500856
-10.034602,1000,1838.5933
40.065147,1000,1887.375107
-75.862069,1000,1935.478388
-30.599369,1000,1979.232347
-69.604863,1000,2028.467359
-27.586207,1000,2075.980407
-24.81203,1000,2126.729503
-71.731449,1000,2177.051217
-14.089347,1000,2225.434622
-34.579439,1000,2274.730863
35.888502,1000,2323.83561
-76.821192,1000,2369.115249
2.389078,1000,2413.248707
-33.579336,1000,2457.562415
218.7251,1000,2503.528141
3.321033,1000,2550.518422
9.929078,1000,2595.003499
-0.70922,1000,2639.200746
-35.483871,1000,2686.485225
-15.76087,1000,2734.293629
46.179402,1000,2781.991517
-32.307692,1000,2829.062049
-35.37415,1000,2876.470661
65.517241,1000,2922.668154
-62.837838,1000,2963.311636
36.518771,1000,3011.316033
51.419558,1000,3055.678266
57.480315,1000,3099.366762
21.863799,1000,3144.36581
18.518519,1000,3188.396664
64.285714,1000,3232.030771
164.094955,1000,3275.538721
78.217822,1000,3320.224533
16.363636,1000,3365.231639
-54.385965,1000,3409.016836
38.888889,1000,3453.180367
171.777003,1000,3497.991856
23.745819,1000,3542.935928
148.466258,1000,3587.823427
92.926045,1000,3632.430591
133.962264,1000,3677.371475
9.540636,1000,3722.186579
69.4,307,3733.631203
124.561404,1000,3778.061719
216.666667,1000,3822.645137
106.185567,1000,3866.923002
104.225352,1000,3912.21738
-27.083333,1000,3957.650744
-6.451613,1000,4002.791405
-52.542373,1000,4047.934764
221.192053,1000,4092.186368
20.805369,1000,4137.097784
196.428571,1000,4183.967132
-45.3125,1000,4229.477156
36.363636,1000,4275.828417
45.907473,1000,4320.3743
324.657534,1000,4365.510634
-23.076923,1000,4411.444933
28.378378,1000,4456.740481
61.716172,1000,4496.953256
117.665615,1000,4544.926328
144.604317,1000,4589.994136
1.190476,1000,4635.319783
215.98513,1000,4679.533792
20.996441,1000,4725.075057
31.578947,1000,4769.792414
93.050193,1000,4814.671781
